RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          479     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  204  222     0     0  con    0  1.0D+00  5.0D-02  2.299D-07  7.806D-08
  205  223     0     0  con    0  1.0D+00  5.8D-02  1.214D-06  7.517D-08
  206  224     0     0  con    0  1.0D+00  3.1D-02  5.895D-07  7.249D-08
  207  225     0     0  con    0  1.0D+00  2.3D-02  3.688D-07  7.122D-08
  208  226     0     0  con    0  1.0D+00  2.6D-02  1.256D-07  7.005D-08
  209  227     0     0  con    0  1.0D+00  6.9D-03  2.012D-07  6.947D-08
  210  228     0     0  con    0  1.0D+00  7.4D-03  1.120D-07  6.893D-08
  211  229     0     0  con    0  1.0D+00  4.4D-03  2.270D-07  6.843D-08
  212  230     0     0  con    0  1.0D+00  9.3D-03  1.180D-07  6.752D-08
  213  231     0     0  con    0  1.0D+00  1.3D-02  4.648D-07  6.599D-08
  214  232     0     0  con    0  1.0D+00  1.1D-02  3.084D-07  6.483D-08
  215  233     0     0  con    0  1.0D+00  9.2D-03  2.316D-07  6.384D-08
  216  234     0     0  con    0  1.0D+00  4.0D-03  1.139D-07  6.358D-08
  217  235     0     0  con    0  1.0D+00  9.3D-03  9.444D-08  6.324D-08
  218  236     0     0  con    0  1.0D+00  1.2D-02  8.040D-07  6.281D-08
  219  237     0     0  con    0  1.0D+00  7.2D-03  4.597D-07  6.227D-08
  220  238     0     0  con    0  1.0D+00  1.9D-02  1.709D-07  6.114D-08
  221  239     0     0  con    0  1.0D+00  1.7D-02  2.494D-07  6.035D-08
  222  240     0     0  con    0  1.0D+00  2.1D-02  3.244D-07  5.931D-08
  223  241     0     0  con    0  1.0D+00  3.4D-02  1.064D-06  5.812D-08
  224  242     0     0  con    0  1.0D+00  9.5D-03  4.652D-07  5.730D-08
  225  243     0     0  con    0  1.0D+00  3.8D-03  1.578D-07  5.685D-08
  226  244     0     0  con    0  1.0D+00  6.0D-03  3.400D-07  5.670D-08
  227  245     0     0  con    0  1.0D+00  4.5D-03  1.548D-07  5.665D-08
  228  246     0     0  con    0  1.0D+00  1.1D-03  1.537D-07  5.659D-08
  229  247     0     0  con    0  1.0D+00  3.3D-03  1.587D-07  5.646D-08
  230  248     0     0  con    0  1.0D+00  4.7D-03  2.359D-07  5.638D-08
  231  249     0     0  con    0  1.0D+00  5.6D-03  2.017D-07  5.623D-08
  232  251     0     0  con    1  4.1D-01  2.9D-03  2.281D-07  5.615D-08
  233  252     0     0  con    0  1.0D+00  1.9D-03  8.739D-08  5.605D-08
  234  253     0     0  con    0  1.0D+00  2.4D-03  1.744D-07  5.597D-08
  235  254     0     0  con    0  1.0D+00  2.8D-03  2.296D-07  5.587D-08
  236  256     0     0  con    1  3.6D-01  3.1D-03  3.458D-07  5.581D-08
  237  257     0     0  con    0  1.0D+00  5.0D-03  1.912D-07  5.560D-08
  238  258     0     0  con    0  1.0D+00  2.6D-03  1.308D-07  5.543D-08
  239  259     0     0  con    0  1.0D+00  5.3D-03  1.009D-07  5.530D-08
  240  260     0     0  con    0  1.0D+00  2.4D-03  6.587D-08  5.524D-08
  241  261     0     0  con    0  1.0D+00  8.0D-03  2.150D-07  5.511D-08
  242  262     0     0  con    0  1.0D+00  1.4D-02  4.142D-07  5.486D-08
  243  263     0     0  con    0  1.0D+00  3.6D-02  4.353D-07  5.419D-08
  244  264     0     0  con    0  1.0D+00  6.3D-02  7.540D-07  5.353D-08
  245  265     0     0  con    0  1.0D+00  1.7D-02  1.879D-07  5.213D-08
  246  266     0     0  con    0  1.0D+00  3.1D-02  1.754D-07  5.093D-08
  247  267     0     0  con    0  1.0D+00  1.5D-02  1.636D-07  5.065D-08
  248  268     0     0  con    0  1.0D+00  1.1D-02  2.840D-07  5.048D-08
  249  269     0     0  con    0  1.0D+00  8.4D-03  3.338D-07  5.028D-08
  250  270     0     0  con    0  1.0D+00  5.7D-03  2.843D-07  5.022D-08
  251  271     0     0  con    0  1.0D+00  5.6D-03  1.844D-07  5.015D-08
  252  272     0     0  con    0  1.0D+00  3.4D-03  1.073D-07  5.005D-08
  253  273     0     0  con    0  1.0D+00  5.3D-03  8.048D-08  4.991D-08
  254  275     0     0  con    1  4.4D-01  2.1D-03  9.265D-08  4.987D-08
  255  276     0     0  con    0  1.0D+00  9.1D-04  8.473D-08  4.985D-08
